data,produto,quantidade,valor_unitario,canal,horario
2026-02-02,Suco Natural,6,7.00,delivery,11:00
2026-02-03,Açaí 300ml,15,10.00,balcao,14:30
2026-02-03,Açaí 500ml,10,15.00,delivery,13:00
2026-02-03,Bowl Frutas,7,18.00,balcao,15:00
2026-03-01,Açaí 300ml,16,10.00,balcao,14:00
2026-03-01,Açaí 500ml,11,15.00,delivery,15:00
2026-03-01,Bowl Frutas,7,18.00,balcao,12:00
2026-03-01,Suco Natural,4,7.00,balcao,11:00
2026-03-02,Açaí 300ml,19,10.00,delivery,13:00
2026-03-02,Açaí 500ml,14,15.00,balcao,14:00
2026-03-02,Bowl Personalizado,8,22.00,delivery,16:00
2026-03-02,Suco Detox,5,8.00,balcao,10:30
2026-03-03,Açaí 300ml,22,10.00,balcao,14:00
2026-03-03,Açaí 500ml,16,15.00,delivery,13:00
2026-03-03,Bowl Frutas,10,18.00,balcao,15:00
2026-03-03,Bowl Personalizado,7,22.00,balcao,16:00
2026-03-03,Suco Detox,6,8.00,delivery,10:00
